month,day_of_week,total_collisions,temp_c,slp_c,visib_c,wdsp_c,prcp_c,fog_c,avg_speed_all
5,2,291,58.6,1006.4,9.8,8.8,0.17,0,29.513481691919193
5,3,289,52.7,1013.5,10.0,8.5,0.0,0,28.756321306188269
5,4,257,51.4,1019.1,10.0,10.1,0.0,0,27.272069272268137
5,5,277,57.5,1017.6,10.0,12.4,0.0,0,26.42915002295684
5,6,361,59.4,1016.5,9.9,10.5,0.0,0,25.810844237832875
5,7,293,60.4,1014.5,9.9,9.3,0.0,0,28.271312661802778
5,1,277,52.9,1019.8,9.7,8.5,0.0,0,28.391507977502297
5,2,258,54.8,1020.0,10.0,10.5,0.0,0,28.135557564279157
5,3,276,57.3,1007.5,9.5,17.0,0.0,0,27.983089416896235
5,4,316,54.2,1003.6,8.8,16.1,0.0,0,27.530219237832874
5,5,311,48.8,1023.5,10.0,11.1,0.0,0,26.65726170988771
5,6,309,52.5,1029.2,10.0,10.4,0.0,0,26.925979109274564
5,7,295,57.3,1023.8,8.6,11.5,0.0,0,32.256826216712582
6,5,226,57.6,1004.9,7.7,4.8,0.0,0,29.547296809151113
6,6,280,56.8,1006.6,4.8,5.0,0.0,0,28.616953340220388
6,7,284,58.2,1007.3,5.9,4.5,0.0,1,29.151205521120293
6,1,247,61.5,1012.1,9.0,6.1,0.03,0,30.168570936639117
6,2,281,61.8,1012.3,7.3,7.6,0.0,0,29.23073490587695
6,3,260,61.4,1005.3,4.2,9.0,0.69,1,28.046356149393844
6,4,281,62.6,1003.7,9.7,10.0,0.0,0,27.82096630642085
6,5,270,62.1,1000.9,9.9,12.7,0.18,0,26.406490185950414
6,6,300,63.8,1006.1,9.9,7.9,0.0,0,26.900865072759107
6,7,263,62.2,1003.4,8.3,5.1,0.23,0,28.575605816297148
6,1,310,61.1,1009.2,9.6,8.0,0.17,0,29.409562672176307
6,2,253,61.1,1017.3,10.0,7.0,0.03,0,29.667909492653813
6,3,267,57.7,1023.5,10.0,8.3,0.0,0,27.765347727338067
6,4,263,58.8,1026.2,10.0,8.9,0.0,0,27.016883608815426
6,5,220,58.5,1023.3,8.1,9.7,0.0,0,27.136099919651056
6,6,248,63.4,1018.0,6.5,6.5,0.05,1,26.978574380165288
6,7,276,64.9,1014.2,3.4,6.5,0.08,1,28.362893298652718
6,1,281,65.5,1011.2,1.2,6.2,0.13,1,29.402792699724518
6,2,281,67.0,1010.8,2.6,6.7,0.0,1,27.331716696320957
6,3,262,66.5,1010.3,5.7,12.7,1.16,0,27.121780016069788
6,4,237,66.8,1010.8,7.3,10.9,0.53,1,27.621175592675506
6,5,257,66.8,1015.3,6.8,7.8,0.03,0,25.996216200650792
6,6,259,65.6,1018.4,5.8,3.0,0.0,1,27.076153581267217
7,7,224,66.7,1018.4,3.6,4.3,0.0,1,29.68260194564812
7,1,237,66.8,1014.5,3.6,7.4,0.0,1,31.738540231864096
7,2,267,70.8,1011.3,6.8,11.2,0.04,0,30.821720328282829
7,3,223,68.9,1012.5,4.2,7.5,0.01,1,31.076920184829088
7,4,270,68.6,1014.6,4.1,4.4,0.0,1,26.44851957070707
7,5,255,68.1,1015.0,2.2,6.8,0.0,1,24.916311983471076
7,6,267,66.5,1012.9,3.3,6.7,0.0,1,24.8567197543618
7,7,235,71.1,1011.2,4.4,4.6,0.0,1,26.062980945821856
7,1,238,69.9,1011.5,5.1,3.9,0.0,1,27.255776515151517
7,2,251,65.6,1008.3,3.2,9.4,0.0,1,25.474792814508724
7,3,262,71.0,1009.6,8.0,10.0,0.02,1,26.134287325083843
7,4,273,73.0,1012.7,9.6,7.8,0.0,0,25.191664010461363
7,7,244,71.5,1016.0,8.3,8.3,0.2,0,23.835086174496645
7,1,277,71.5,1014.0,7.0,11.9,0.01,1,28.980363611111112
7,2,301,71.3,1012.6,6.4,7.5,0.57,1,26.389796185437838
7,3,235,71.1,1015.7,4.6,5.2,0.03,1,25.827616388888888
7,4,219,71.9,1015.4,3.5,7.3,0.01,1,26.4884775
7,5,276,71.7,1015.2,7.7,4.7,0.0,0,25.014080555555555
7,6,314,66.1,1010.0,6.0,5.3,0.0,1,26.529226111111111
7,7,272,69.5,1008.0,6.4,5.8,0.0,1,32.000068085106385
7,2,233,70.1,1019.6,9.6,6.1,0.0,0,25.882509349112425
7,3,290,70.8,1019.3,10.0,5.4,0.0,0,26.593201666666666
7,4,260,73.1,1018.0,9.7,8.4,0.0,0,26.58991386496249
7,5,232,72.8,1016.0,8.4,10.2,0.0,0,26.478798611111113
7,6,279,75.9,1013.9,8.5,9.9,0.01,0,25.862109722222222
7,7,258,73.3,1012.5,5.7,8.8,0.0,1,28.457272323164972
7,1,252,68.4,1011.1,9.4,11.9,0.07,0,27.827131660135077
7,2,254,70.3,1013.6,10.0,8.1,0.0,0,27.459871388888889
8,3,272,69.6,1017.6,10.0,7.5,0.0,0,27.47370888888889
8,4,247,66.7,1021.4,10.0,7.8,0.0,0,26.741169722222221
8,5,248,64.4,1021.2,10.0,6.5,0.0,0,26.722155555555556
8,6,263,67.2,1016.7,10.0,7.9,0.0,0,26.970651944444445
8,7,253,70.1,1014.2,9.4,7.5,0.02,0,28.04268861111111
8,1,260,70.5,1015.4,8.5,6.7,0.0,0,29.390786388888888
8,2,241,68.5,1015.8,9.9,7.6,0.0,0,28.17485179320499
8,3,235,70.9,1007.6,8.6,14.9,0.0,0,27.978534044503707
8,4,252,71.8,1002.0,10.0,13.6,0.03,0,27.622557222222223
8,5,281,71.1,1006.8,9.8,9.5,0.0,0,26.287466373196381
8,6,268,71.5,1005.7,9.0,13.4,0.44,0,26.462326660156251
8,7,289,69.6,1012.9,7.1,5.5,0.17,1,28.212705620659722
8,1,266,70.5,1012.5,6.7,8.9,0.03,1,28.167162814670139
8,2,260,70.8,1013.9,8.9,8.1,0.01,1,28.807783587429139
8,3,248,69.6,1011.0,8.5,8.6,0.44,0,27.733117955403461
8,4,256,66.6,1012.9,9.7,7.9,0.24,1,26.411045249850794
8,5,196,65.7,1015.7,6.8,6.4,0.07,0,28.127866182101368
8,6,283,70.4,1007.2,6.6,10.1,0.24,0,25.953156738281248
8,7,261,68.3,1012.3,10.0,11.7,0.02,0,27.09972710503472
8,1,252,69.7,1017.4,10.0,10.6,0.0,0,28.826917046440972
8,2,243,71.1,1016.6,8.5,8.8,0.0,0,29.039354383680553
8,3,219,67.9,1016.1,8.3,11.8,0.0,1,28.504061957465279
8,4,212,64.3,1019.0,10.0,6.1,0.0,0,27.691061628919861
8,5,231,62.1,1019.7,10.0,4.4,0.0,0,25.720946180555554
8,6,240,66.6,1016.7,9.3,12.9,0.0,0,26.693176243963318
8,7,244,69.6,1011.2,5.7,10.8,0.0,1,27.115769042968751
8,1,244,68.9,1011.7,5.4,5.8,0.01,1,28.294432779947915
8,2,225,66.2,1017.8,10.0,6.1,0.0,0,27.851591626742159
8,3,218,66.7,1015.8,6.6,7.2,0.0,1,27.928980007053141
8,4,256,69.6,1007.3,1.1,8.2,0.01,1,27.155294867621528
8,5,298,66.8,1009.8,10.0,15.1,0.0,0,23.91630154079861
9,6,279,63.7,1022.0,10.0,9.9,0.0,0,25.397346733940971
9,7,268,61.2,1022.8,10.0,6.5,0.0,0,29.968135850694445
9,1,251,67.7,1015.0,9.6,9.9,0.0,0,29.590186089409723
9,2,252,70.0,1010.9,6.8,4.2,0.0,0,31.873413000871082
9,3,275,72.6,1011.9,9.9,4.2,0.0,1,27.879361165364582
9,4,283,73.2,1009.7,9.2,6.3,0.0,0,27.393076283269963
9,5,294,72.6,1009.1,7.0,8.5,0.0,0,26.248615032430369
9,6,256,70.9,1015.5,4.1,8.1,0.0,1,25.492191569010416
9,7,265,71.1,1019.6,6.3,7.6,0.0,1,28.427220865885417
9,1,236,69.0,1020.4,1.2,4.6,0.0,1,29.030235731336806
9,2,290,68.9,1017.4,2.5,4.5,0.0,1,25.666874186197916
9,3,271,69.5,1015.2,4.9,4.7,0.04,1,25.924691297743056
9,4,253,69.2,1014.9,3.3,5.3,0.0,1,26.551458372894231
9,5,293,69.9,1014.8,7.1,5.3,0.0,1,25.2780423797881
9,6,257,64.7,1013.9,10.0,18.8,0.01,0,25.71529181184669
9,7,280,62.9,1003.9,9.1,22.1,0.0,0,27.182122733687983
9,1,206,65.1,1011.9,10.0,10.2,0.0,0,29.218401421440973
9,2,272,64.8,1011.5,9.3,10.4,0.0,0,25.869413889567888
9,3,276,65.9,1009.3,9.6,14.1,0.01,0,26.876659306509648
9,4,273,62.2,1017.3,10.0,7.9,0.0,0,26.060490451388887
9,5,278,61.5,1022.4,10.0,5.9,0.0,0,25.159146757679181
9,6,277,60.6,1028.0,10.0,7.6,0.0,0,25.160071614583334
9,7,253,59.5,1023.8,7.7,12.3,0.0,0,28.718848856452968
9,1,273,61.2,1018.4,5.6,14.5,1.55,0,28.783424479166666
9,2,234,61.6,1018.1,7.8,14.4,0.06,0,27.882957942193677
9,3,265,59.7,1025.3,9.8,16.2,0.04,0,24.277118137900747
9,4,284,56.7,1026.8,9.8,10.9,0.0,0,25.296594381608411
9,5,302,58.5,1025.8,10.0,8.9,0.0,0,24.619812282986111
9,6,317,60.3,1023.5,9.6,9.9,0.0,0,22.331028374565971
9,7,241,60.7,1019.2,5.0,13.2,0.32,0,28.933015407986112
10,1,240,61.1,1018.7,6.8,18.1,0.65,0,28.978153211805555
