date,avg_speed_all,avg_speed_i87,min_speed_all,min_speed_i87,max_speed_all,max_speed_i87
2017-10-08,27.198216848874598,54.839826388888909,0.0,0.0,82.64,82.64
2020-10-10,36.265532720530629,0.0,0.0,0.0,82.64,0.0
2023-11-28,29.542936522826768,53.935423076923087,0.0,12.42,82.64,66.48
2022-04-17,35.739310422093382,0.0,0.0,0.0,103.14,0.0
2019-08-08,31.500802561586532,0.0,0.0,0.0,103.14,0.0
2019-03-14,34.756843054248982,50.9973263888889,0.0,0.0,77.05,77.05
2022-03-21,32.241070114068442,0.0,0.0,0.0,77.05,0.0
2019-04-10,32.80873934778667,51.862447552447577,0.0,0.0,77.05,67.72
2021-04-14,31.026508655647845,0.0,0.0,0.0,77.05,0.0
2021-04-15,30.793277747324083,0.0,0.0,0.0,77.05,0.0
2021-04-27,34.844934150713044,0.0,0.0,0.0,77.05,0.0
2018-05-11,32.119615234628881,45.972245614035081,0.0,0.0,77.05,67.1
2020-05-23,40.696421226490493,0.0,0.0,0.0,77.05,0.0
2021-05-24,36.348017747244882,0.0,0.0,0.0,77.05,0.0
2021-05-26,33.452842583666161,0.0,0.0,0.0,77.05,0.0
2021-05-31,38.055549773755658,0.0,0.0,0.0,77.05,0.0
2020-06-19,38.265777719847065,0.0,0.0,0.0,77.05,0.0
2021-06-26,32.851854763241626,0.0,0.0,0.0,77.05,0.0
2023-06-29,25.996216200650792,55.176411149825753,0.0,0.0,77.05,68.97
2020-07-05,42.418480955540808,0.0,0.0,0.0,77.05,0.0
2021-07-14,33.909091004568609,0.0,0.0,0.0,77.05,0.0
2020-07-25,40.719767893714227,0.0,0.0,0.0,77.05,0.0
2022-07-26,30.230611171510006,59.116380597014889,0.0,33.55,77.05,67.1
2019-07-31,31.106385955853877,0.0,0.0,0.0,77.05,0.0
2019-09-11,28.08647311661905,0.0,0.0,0.0,77.05,0.0
2018-10-20,31.793600031202871,49.230452961672448,0.0,10.56,77.05,64.62
2021-10-20,33.400363387215471,0.0,0.0,0.0,77.05,0.0
2018-11-05,30.061221088143636,48.235230769230768,0.0,0.0,77.05,65.86
2017-11-10,32.663678830193653,52.067212543554,0.0,0.0,77.05,65.86
2023-11-21,27.958282372550148,44.62698245614034,0.0,0.0,77.05,67.72
2023-11-22,28.707963726764223,47.2023611111111,0.0,0.0,77.05,63.37
2020-11-23,31.876965513593568,0.0,0.0,0.0,77.05,0.0
2021-11-25,37.505756176470591,0.0,0.0,0.0,77.05,0.0
2021-11-27,36.593023629343627,0.0,0.0,0.0,77.05,0.0
2019-12-01,39.172486309459892,0.0,0.0,0.0,77.05,0.0
2020-12-21,35.560140305794683,0.0,0.0,0.0,77.05,0.0
2018-03-31,36.4307511834243,56.371562500000032,0.0,22.99,97.55,64.0
2020-04-24,42.7471998826903,60.866785714285712,0.0,44.11,97.55,66.48
2023-06-20,27.765347727338067,53.645243055555554,0.0,13.67,97.55,68.35
2020-12-15,36.843070132175974,0.0,0.0,0.0,97.55,0.0
2021-03-27,30.471265963497235,0.0,0.0,0.0,119.3,0.0
2022-04-20,32.146937847099139,0.0,0.0,0.0,119.3,0.0
2022-04-21,32.416311404367157,0.0,0.0,0.0,119.3,0.0
2020-07-16,36.467430859758089,0.0,0.0,0.0,119.3,0.0
2019-10-04,34.89308141578563,0.0,0.0,0.0,119.3,0.0
2020-11-02,33.505037713175319,0.0,0.0,0.0,119.3,0.0
2019-01-04,37.955859744653857,54.872787456446027,0.0,9.32,75.8,66.48
2021-01-12,37.08836831214898,0.0,0.0,0.0,75.8,0.0
2018-01-13,32.411344066381382,47.2287762237762,0.0,0.0,75.8,67.1
2021-01-17,40.105631127450984,0.0,0.0,0.0,75.8,0.0
2019-01-19,39.698293267990714,58.87409722222224,0.0,0.0,75.8,66.48
2022-01-24,36.001195752212389,0.0,0.0,0.0,75.8,0.0
2021-02-03,37.731388507765764,0.0,0.0,0.0,75.8,0.0
2021-02-06,38.559719983883966,0.0,0.0,0.0,75.8,0.0
2021-02-10,36.076418586899479,0.0,0.0,0.0,75.8,0.0
2021-04-09,29.780402308606348,0.0,0.0,0.0,75.8,0.0
2021-04-11,32.97331702645338,0.0,0.0,0.0,75.8,0.0
2022-05-01,32.48596952602179,0.0,0.0,0.0,75.8,0.0
2021-05-16,37.369332348511179,0.0,0.0,0.0,75.8,0.0
2021-05-17,37.125106144953783,0.0,0.0,0.0,75.8,0.0
2021-05-25,34.8418657141378,0.0,0.0,0.0,75.8,0.0
2020-06-15,32.729111369166112,0.0,0.0,0.0,75.8,0.0
2020-06-16,40.571856611884826,0.0,0.0,0.0,75.8,0.0
2021-07-06,31.9248927062181,0.0,0.0,0.0,75.8,0.0
2022-08-05,31.403859913852234,53.3512195121951,0.0,18.01,75.8,66.48
2019-08-24,33.71733147445331,0.0,0.0,0.0,75.8,0.0
2020-09-08,38.340394750966077,0.0,0.0,0.0,75.8,0.0
2020-09-10,35.18991648363567,0.0,0.0,0.0,75.8,0.0
2020-09-15,36.5395950835373,0.0,0.0,0.0,75.8,0.0
2020-09-21,37.9896974505448,0.0,0.0,0.0,75.8,0.0
2021-10-08,31.560049998663136,0.0,0.0,0.0,75.8,0.0
2020-10-18,39.949943345015676,0.0,0.0,0.0,75.8,0.0
2019-11-03,35.7651716878039,0.0,0.0,0.0,75.8,0.0
2020-11-11,34.027364457067506,0.0,0.0,0.0,75.8,0.0
2021-11-11,35.959362323651455,0.0,0.0,0.0,75.8,0.0
2021-11-13,35.087109135802471,0.0,0.0,0.0,75.8,0.0
2020-11-17,37.766966690654876,0.0,0.0,0.0,75.8,0.0
2021-11-18,33.164006153846152,0.0,0.0,0.0,75.8,0.0
2023-11-20,29.997641426836502,53.519583333333294,0.0,18.64,75.8,67.1
2020-12-16,33.875107302003883,0.0,0.0,0.0,75.8,0.0
2021-06-20,35.454612659172042,0.0,0.0,0.0,113.71,0.0
2019-01-15,34.540414545454546,52.928604651162779,0.0,0.0,70.21,62.75
2018-01-16,31.113470989056371,37.553055555555559,0.0,0.0,70.21,65.24
2020-01-23,36.839931489597504,55.193356643356658,0.0,16.15,70.21,65.86
2019-02-11,35.418259124932476,52.378020833333359,0.0,0.0,70.21,67.72
2020-02-12,38.255614263861375,54.431533101045325,0.0,10.56,70.21,65.86
2020-02-14,35.822731780677152,51.190112994350258,0.0,9.32,70.21,65.86
2020-02-21,37.5423847027641,56.655719298245621,0.0,12.42,70.21,67.1
2018-03-09,32.214798515922908,46.347847222222221,0.0,0.0,70.21,64.62
2022-03-17,32.530549262855089,0.0,0.0,0.0,70.21,0.0
2022-03-23,31.36751741935484,0.0,0.0,0.0,70.21,0.0
2018-03-29,31.535303490527184,50.270243055555554,0.0,0.0,70.21,65.86
2019-05-12,34.912450102880655,55.85819444444445,0.0,9.94,70.21,68.35
2021-05-29,35.937181016665356,0.0,0.0,0.0,70.21,0.0
2019-06-14,31.926474472288657,46.654561403508758,0.0,9.94,70.21,68.97
2019-06-16,33.345881747741373,52.820138888888891,0.0,14.29,70.21,68.35
2018-06-19,34.656495746630021,53.385123674911647,0.0,13.67,70.21,67.1
2019-06-26,31.546788986354777,46.457894736842071,0.0,11.8,70.21,67.72
2019-06-29,34.822466715081092,49.895490196078434,0.0,14.91,70.21,69.59
2018-07-12,33.562629890453834,50.250140845070412,0.0,0.0,70.21,67.72
2023-07-24,25.882509349112425,57.867988165680508,0.0,41.01,70.21,61.51
2022-07-25,29.198915294679075,58.517757575757571,0.0,33.55,70.21,63.37
2019-07-30,31.8652439275422,0.0,0.0,0.0,70.21,0.0
2023-08-08,27.978534044503707,57.681597222222244,0.0,0.0,70.21,67.1
2018-08-17,31.138210649654994,57.01540350877189,0.0,12.42,70.21,67.1
2019-08-19,32.996500103295112,0.0,0.0,0.0,70.21,0.0
2017-08-27,27.304523660294578,55.9295138888889,0.0,0.0,70.21,67.1
2021-09-08,34.001381616329382,0.0,0.0,0.0,70.21,0.0
2017-09-27,24.117306661080853,51.9928108108108,0.0,10.56,70.21,69.59
2017-10-16,23.605358501277319,51.0026819923372,0.0,0.0,70.21,62.13
2019-11-09,37.456008146639512,0.0,0.0,0.0,70.21,0.0
2020-11-13,36.222098159975666,0.0,0.0,0.0,70.21,0.0
2020-11-25,34.658289453813239,0.0,0.0,0.0,70.21,0.0
2023-12-10,33.062801022582022,55.361736111111142,0.0,8.69,70.21,67.1
2023-12-29,30.051296246926746,59.439885057471272,0.0,46.6,70.21,64.62
2023-02-05,36.564362199371125,58.862648083623689,0.0,50.33,91.96,65.86
2022-05-11,31.959034068912118,0.0,0.0,0.0,91.96,0.0
2022-05-14,32.344666085946571,0.0,0.0,0.0,91.96,0.0
2020-05-21,40.284829071049728,0.0,0.0,0.0,91.96,0.0
2022-06-23,27.642201529489437,56.104479166666721,0.0,15.53,91.96,67.72
2022-07-11,31.225738594473444,58.129625468164818,0.0,18.64,91.96,67.1
2017-09-06,26.381411192839874,52.192430555555539,0.0,0.0,91.96,65.86
2020-10-04,40.4341188144002,0.0,0.0,0.0,91.96,0.0
2020-10-24,38.654643131017636,0.0,0.0,0.0,91.96,0.0
2021-03-14,35.1281352480694,0.0,0.0,0.0,85.12,0.0
2021-04-30,33.611631090944961,0.0,0.0,0.0,85.12,0.0
2022-05-08,32.415941041833271,0.0,0.0,0.0,85.12,0.0
2021-07-02,32.326477496161822,0.0,0.0,0.0,85.12,0.0
2022-07-13,29.201693738036642,56.3029166666667,0.0,0.0,85.12,67.1
2022-07-21,27.973858924566489,56.214270833333359,0.0,11.8,85.12,65.86
2021-09-06,38.626625828583222,0.0,0.0,0.0,85.12,0.0
2021-11-02,35.415498587360595,0.0,0.0,0.0,85.12,0.0
2018-11-04,34.232929683335108,57.4184210526316,0.0,0.0,85.12,69.59
2021-11-15,34.833928524590164,0.0,0.0,0.0,85.12,0.0
2020-12-26,41.368083106722004,0.0,0.0,0.0,85.12,0.0
2018-01-03,33.94126621338912,55.65394366197183,0.0,17.39,86.37,65.24
2022-02-11,30.551572908366534,0.0,0.0,0.0,86.37,0.0
2022-03-01,32.811486717557251,0.0,0.0,0.0,86.37,0.0
2022-03-09,30.723076090225565,0.0,0.0,0.0,86.37,0.0
2021-04-29,33.565534887371477,0.0,0.0,0.0,86.37,0.0
2019-05-23,30.924877303872098,45.558434163701065,0.0,0.0,86.37,66.48
2021-07-28,33.9160447080292,0.0,0.0,0.0,86.37,0.0
2020-08-11,37.758790125573221,0.0,0.0,0.0,86.37,0.0
2020-09-05,39.749286032203166,0.0,0.0,0.0,86.37,0.0
2021-09-17,31.40256876536856,0.0,0.0,0.0,86.37,0.0
2023-11-11,30.732775346565404,52.062812500000014,0.0,9.94,86.37,68.35
2018-11-13,30.611683601286174,49.032048611111094,0.0,4.97,86.37,63.37
2020-11-21,36.440527007299266,0.0,0.0,0.0,86.37,0.0
2021-12-01,34.363231095406363,0.0,0.0,0.0,86.37,0.0
2017-12-12,34.03269220852885,51.951249999999987,0.0,8.69,86.37,86.37
2021-05-19,34.437983331935008,0.0,0.0,0.0,106.87,0.0
2022-11-02,33.595140128651991,54.539721254355406,0.0,9.32,106.87,67.1
2017-09-29,22.897625661375663,53.3376785714286,0.0,13.04,101.28,65.24
2022-01-07,36.102780228136879,0.0,0.0,0.0,79.53,0.0
2021-01-26,37.316690048068367,0.0,0.0,0.0,79.53,0.0
2021-01-28,35.692980950685417,0.0,0.0,0.0,79.53,0.0
2018-01-31,36.220670988988374,53.912152777777763,0.0,0.0,79.53,78.29
2021-03-03,36.5013547652327,0.0,0.0,0.0,79.53,0.0
2021-03-05,35.142301703163014,0.0,0.0,0.0,79.53,0.0
2018-03-12,35.901537445276276,53.4745486111111,0.0,0.0,79.53,65.24
2018-05-01,36.330674923900496,48.987359154929571,0.0,0.0,79.53,65.86
2020-05-04,42.880942194136537,62.865551601423476,0.0,55.3,79.53,68.97
2020-06-13,40.160731502999511,0.0,0.0,0.0,79.53,0.0
2022-07-27,32.004531878901012,55.513407407407414,0.0,18.01,79.53,65.86
2020-08-12,37.127037866610451,0.0,0.0,0.0,79.53,0.0
2021-09-24,29.32803556437457,0.0,0.0,0.0,79.53,0.0
2021-10-10,37.620863391763017,0.0,0.0,0.0,79.53,0.0
2023-10-13,25.546631914198606,50.740348432055754,0.0,13.67,79.53,64.62
2021-10-14,32.902340632603405,0.0,0.0,0.0,79.53,0.0
2018-10-19,29.62091866053704,49.68138888888889,0.0,8.69,79.53,68.35
2019-10-20,37.338245361605452,0.0,0.0,0.0,79.53,0.0
2020-10-26,37.579829576513717,0.0,0.0,0.0,79.53,0.0
